shop_id,name,lat,lng,image_id,image_file,qr_id,qr_image,area,short_desc,strength,recommend,target,duration,crowd,shop_url,access,business_hours,closed,article,category
S001,cornology,35.30883,139.48281,IMG001,img001.jpg,QR001,qr001.png,片瀬海岸,グルメポップコーン専門店,カリフォルニア発祥本格ポップコーン,キャラメルポップコーン,カップル・女性客・観光客,30〜45分,やや混雑,https://cornology.jp/,小田急江ノ島線「片瀬江ノ島」駅より徒歩約3分,11:00-16:00,月曜・火曜（祝日の場合は営業）,【cornology】は、片瀬海岸エリアにあるグルメポップコーン専門店です。最大の特徴は「カリフォルニア発祥本格ポップコーン」で、訪れた際にはぜひキャラメルポップコーンをお試しください。,カフェ
S002,KOINOBORI,35.31012,139.48623,IMG002,img002.jpg,QR002,qr002.png,片瀬海岸,湘南の海を感じるカフェ,地元食材を使ったメニュー,しらすピザ,観光客・食べ歩き利用,15〜20分,やや混雑,https://www.instagram.com/koinobori_shonan/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【KOINOBORI】は、片瀬海岸エリアにある湘南の海を感じるカフェです。最大の特徴は「地元食材を使ったメニュー」で、訪れた際にはぜひしらすピザをお試しください。,食べ歩き
S003,あさひ本店,35.30132,139.48065,IMG003,img003.jpg,QR003,qr003.png,江の島,丸焼きたこせんべいの超人気店,目の前でプレスする熱々のたこせんべい,丸焼きたこせんべい,観光客・食べ歩き利用,10〜15分,混雑しやすい,https://murasaki-imo.com/,江の島弁財天仲見世通り周辺（公式サイト要確認）,公式URL要確認,公式サイトのお知らせで要確認,【あさひ本店】は、江の島エリアにある丸焼きたこせんべいの超人気店です。最大の特徴は「目の前でプレスする熱々のたこせんべい」で、訪れた際にはぜひ丸焼きたこせんべいをお試しください。,土産
S004,湘南しらす天,35.30154,139.48082,IMG004,img004.jpg,QR004,qr004.png,江の島,食べ歩きにぴったりのしらす天,湘南名物しらすを手軽に味わえる,しらす天,観光客・食べ歩き利用,15〜20分,やや混雑,https://amami.sakura.ne.jp/,江の島島内（公式サイト要確認）,10:00-19:00,年中無休,【湘南しらす天】は、江の島エリアにある食べ歩きにぴったりのしらす天です。最大の特徴は「湘南名物しらすを手軽に味わえる」で、訪れた際にはぜひしらす天をお試しください。,食べ歩き
S005,江ノ島プリン,35.30948,139.48512,IMG005,img005.jpg,QR005,qr005.png,片瀬海岸,江ノ島名物のなめらかプリン,大麦を使った香ばしい特製プリン,江ノ島プリン,観光客・ファミリー,20〜40分,混雑しやすい,https://enoshima-pudding.com/,江ノ島電鉄「江ノ島駅」徒歩4分／小田急江ノ島線「片瀬江ノ島駅」徒歩4分／湘南モノレール「湘南江の島駅」徒歩5分,10:00-17:00（夏季は17:30まで）,火曜日,【江ノ島プリン】は、片瀬海岸エリアにある江ノ島名物のなめらかプリンです。最大の特徴は「大麦を使った香ばしい特製プリン」で、訪れた際にはぜひ江ノ島プリンをお試しください。,観光
S006,井上総本舗,35.30121,139.48066,IMG006,img006.jpg,QR006,qr006.png,江の島,老舗の和菓子店,アイス最中と女夫まんじゅう,アイス最中,観光客・ファミリー,20〜40分,普通,http://www.cityfujisawa.ne.jp/~hi-ho/newpage1.htm,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【井上総本舗】は、江の島エリアにある老舗の和菓子店です。最大の特徴は「アイス最中と女夫まんじゅう」で、訪れた際にはぜひアイス最中をお試しください。,観光
S007,紀の国屋本店,35.30105,139.48053,IMG007,img007.jpg,QR007,qr007.png,江の島,女夫まんじゅうの老舗,蒸したての温かいおまんじゅう,女夫まんじゅう,観光客・お土産購入,15〜20分,普通,https://tabelog.com/kanagawa/A1404/A140403/14004847/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【紀の国屋本店】は、江の島エリアにある女夫まんじゅうの老舗です。最大の特徴は「蒸したての温かいおまんじゅう」で、訪れた際にはぜひ女夫まんじゅうをお試しください。,土産
S008,とびっちょ,35.30182,139.48128,IMG008,img008.jpg,QR008,qr008.png,江の島,しらす問屋の人気食堂,鮮度抜群の生しらす,生しらす丼,ファミリー・観光客・海鮮ランチ利用,45〜60分,混雑しやすい,http://tobiccho.com/shops/tobiccho,江の島弁財天仲見世通り周辺（公式サイト要確認）,公式URL要確認,公式URL要確認,【とびっちょ】は、江の島エリアにあるしらす問屋の人気食堂です。最大の特徴は「鮮度抜群の生しらす」で、訪れた際にはぜひ生しらす丼をお試しください。,観光
S009,湘南デニムストリート,35.30115,139.48056,IMG009,img009.jpg,QR009,qr009.png,江の島,デニム製品と青いグルメの店,SNS映えするデニムまん,デニムまん,観光客・ファミリー,20〜40分,普通,https://x.com/SHONANDENIM?t=s4eaUoRlb2X-uHzaEOsLww&s=09,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【湘南デニムストリート】は、江の島エリアにあるデニム製品と青いグルメの店です。最大の特徴は「SNS映えするデニムまん」で、訪れた際にはぜひデニムまんをお試しください。,観光
S010,江ノ島スパ売店,35.30211,139.48003,IMG010,img010.jpg,QR010,qr010.png,江の島,えのすぱ併設のギフトショップ,湘南の特産品やリラックスグッズ,湘南コスメ,観光客・日帰り温浴利用,30〜60分,混雑しやすい,https://www.enospa.jp/,江の島島内（江の島アイランドスパ内）,施設・店舗ごとに異なるため公式URL要確認,施設メンテナンス日あり・公式URL要確認,【江ノ島スパ売店】は、江の島エリアにあるえのすぱ併設のギフトショップです。最大の特徴は「湘南の特産品やリラックスグッズ」で、訪れた際にはぜひ湘南コスメをお試しください。,観光
